CustomerID,CustomerName,City,RiskLevel,CustomerSegment
1,Customer_1,Adana,Medium,Individual
2,Customer_2,Istanbul,Low,Individual
3,Customer_3,Antalya,Low,Individual
4,Customer_4,Antalya,Medium,Individual
5,Customer_5,Antalya,Medium,Individual
6,Customer_6,Izmir,High,Individual
7,Customer_7,Trabzon,Low,Individual
8,Customer_8,Izmir,Low,Individual
9,Customer_9,Izmir,Low,Corporate
10,Customer_10,Izmir,Medium,Individual
11,Customer_11,Izmir,Medium,Individual
12,Customer_12,Bursa,High,Individual
13,Customer_13,Istanbul,High,Individual
14,Customer_14,Istanbul,Medium,Individual
15,Customer_15,Gaziantep,Low,Corporate
16,Customer_16,Gaziantep,Medium,Individual
17,Customer_17,Adana,Medium,Individual
18,Customer_18,Istanbul,Low,Corporate
19,Customer_19,Antalya,Low,Corporate
20,Customer_20,Gaziantep,Medium,Individual
21,Customer_21,Gaziantep,Medium,Individual
22,Customer_22,Izmir,Low,Individual
23,Customer_23,Ankara,Low,Individual
24,Customer_24,Bursa,High,Individual
25,Customer_25,Trabzon,Low,Individual
26,Customer_26,Bursa,Low,Corporate
27,Customer_27,Adana,Low,Individual
28,Customer_28,Ankara,Medium,Individual
29,Customer_29,Istanbul,Low,Corporate
30,Customer_30,Trabzon,Low,Individual
31,Customer_31,Gaziantep,Low,Individual
32,Customer_32,Istanbul,High,Individual
33,Customer_33,Ankara,High,Individual
34,Customer_34,Adana,Low,Individual
35,Customer_35,Adana,Low,Individual
36,Customer_36,Istanbul,Low,Individual
37,Customer_37,Trabzon,Medium,Individual
38,Customer_38,Antalya,High,Corporate
39,Customer_39,Istanbul,Low,Individual
40,Customer_40,Trabzon,Medium,Corporate
41,Customer_41,Ankara,Medium,Individual
42,Customer_42,Trabzon,Low,Corporate
43,Customer_43,Bursa,Low,Individual
44,Customer_44,Bursa,Low,Corporate
45,Customer_45,Gaziantep,Low,Individual
46,Customer_46,Istanbul,Low,Individual
47,Customer_47,Istanbul,High,Individual
48,Customer_48,Antalya,Medium,Individual
49,Customer_49,Istanbul,Low,Individual
