LoadID,DateKey,TableName,RecordCount,MissingValues,ErrorCount,LoadDurationSeconds,LoadStatus
1,783,Branch,83041,3360,137,677,Fail
2,1010,Customer,50100,3375,232,522,Success
3,706,Branch,177559,4844,318,73,Success
4,935,Card,158806,251,28,742,Success
5,783,Product,127381,353,481,38,Fail
6,43,Account,34563,2391,238,448,Success
7,833,Product,63938,1633,133,427,Success
8,983,Card,18911,1934,160,399,Success
9,1064,Transaction,132719,2618,312,499,Success
10,1040,Product,85990,2234,67,611,Success
11,1010,Branch,178119,703,367,182,Success
12,683,Card,85972,1851,55,400,Success
13,320,Card,28355,3735,60,281,Fail
14,1025,Customer,84312,1522,126,693,Success
15,1050,Branch,24797,1700,224,642,Success
16,757,Transaction,86194,4210,359,546,Success
17,907,Loan,149952,4646,442,427,Success
18,788,Customer,144492,1710,272,231,Success
19,856,Branch,154469,1867,172,702,Success
20,574,Transaction,53590,2023,333,531,Success
21,558,Loan,91265,30,229,53,Success
22,921,Customer,124310,3436,396,559,Success
23,234,Transaction,21960,3882,31,292,Success
24,169,Loan,82406,3760,108,361,Success
25,579,Product,78103,2002,64,286,Success
26,549,Account,62807,152,440,485,Success
27,428,Loan,169616,745,399,673,Fail
28,263,Branch,141489,1909,436,325,Success
29,352,Loan,196900,1125,258,604,Success
30,604,Loan,120487,736,301,280,Success
31,305,Card,67594,3538,112,649,Success
32,650,Loan,55799,4509,418,50,Fail
33,565,Customer,128181,1054,221,622,Success
34,317,Customer,50102,1811,324,243,Success
35,852,Transaction,176714,538,198,571,Success
36,566,Customer,153615,4573,425,670,Success
37,565,Product,139160,4784,190,444,Success
38,543,Card,108215,961,280,693,Success
39,423,Account,119359,4971,421,373,Success
40,980,Transaction,199168,319,36,417,Success
41,950,Account,68450,881,490,429,Success
42,724,Branch,72398,4931,68,359,Success
43,1000,Transaction,79194,3444,213,635,Success
44,60,Loan,168496,2717,312,438,Fail
45,961,Card,133194,97,168,508,Success
46,378,Product,12740,4805,116,425,Success
47,88,Loan,94504,1270,81,343,Success
48,575,Account,27297,592,45,91,Success
49,173,Account,90510,3913,310,778,Success
50,498,Branch,132061,2119,108,798,Success
51,855,Customer,6228,408,368,525,Success
52,1045,Account,72466,688,104,294,Success
53,841,Customer,4736,2307,363,676,Success
54,510,Customer,143604,4931,352,732,Success
55,904,Product,197111,4156,414,177,Fail
56,741,Card,9709,3420,286,544,Success
57,584,Branch,2384,729,60,675,Success
58,1052,Product,79614,453,422,676,Success
59,57,Loan,181014,2657,74,68,Success
60,715,Branch,11709,4571,391,191,Success
61,1076,Product,127707,4841,298,89,Success
62,148,Account,80667,2165,117,457,Success
63,757,Loan,190215,4475,480,21,Success
64,586,Product,152310,3728,181,308,Success
65,277,Account,94340,2636,464,399,Success
66,723,Account,8018,3922,171,219,Success
67,465,Account,4424,586,372,461,Success
68,57,Transaction,42220,1739,437,733,Success
69,576,Loan,195829,1600,443,77,Success
70,1019,Loan,186381,553,254,82,Success
71,284,Transaction,78500,4954,423,388,Success
72,851,Product,23275,2839,3,290,Success
73,196,Account,31860,4961,22,176,Success
74,998,Product,121991,949,219,692,Success
75,431,Transaction,35490,221,272,443,Fail
76,59,Customer,71847,598,377,250,Success
77,752,Customer,61027,411,249,447,Success
78,984,Account,54564,39,187,152,Success
79,1032,Account,189808,2781,392,594,Success
80,279,Transaction,32571,2071,158,672,Success
81,607,Branch,140697,4773,209,290,Success
82,112,Transaction,193904,2178,66,639,Success
83,591,Loan,70198,1955,117,50,Success
84,485,Customer,149797,3272,255,445,Success
85,205,Branch,73993,1810,187,713,Fail
86,585,Account,94824,672,309,61,Success
87,376,Card,73482,4998,213,501,Fail
88,976,Account,101249,4740,268,50,Success
89,388,Loan,164042,392,339,546,Success
90,303,Account,35975,590,82,350,Success
91,498,Product,21647,4590,97,297,Success
92,1005,Product,146053,4673,24,94,Success
93,359,Transaction,119987,4074,216,659,Success
94,235,Customer,122498,1262,105,510,Success
95,350,Branch,164949,1009,16,634,Success
96,37,Branch,55143,707,93,81,Success
97,210,Account,10723,1201,23,75,Success
98,873,Product,69709,2762,171,659,Success
99,111,Transaction,68472,4413,370,551,Success
100,73,Branch,176274,4774,41,287,Success
101,647,Branch,68498,3712,394,623,Success
102,106,Account,149480,1157,25,139,Success
103,535,Product,79003,1831,225,658,Success
104,342,Transaction,182325,1166,388,593,Success
105,878,Loan,78565,1280,341,394,Success
106,790,Loan,104530,4243,66,677,Success
107,777,Card,106198,1892,141,780,Success
108,973,Product,25986,4912,155,91,Success
109,166,Customer,174741,159,450,167,Success
110,675,Loan,56847,151,193,132,Success
111,801,Transaction,74989,4309,155,314,Success
