TransactionID,DateKey,BranchKey,ProductKey,Revenue,Expense,TransactionCount
1,522,8,2,31191,21256,443
2,900,6,2,19536,4791,339
3,624,5,2,4046,2879,359
4,771,6,3,30524,898,68
5,381,2,5,46329,4062,369
6,13,1,1,7881,17891,492
7,1002,6,1,3861,6816,177
8,204,6,3,14459,14611,406
9,154,2,1,49951,28278,202
10,814,2,3,14228,18919,377
11,1021,3,3,17117,5776,134
12,169,6,2,3730,28202,167
13,807,7,5,47895,1254,194
14,833,2,4,26403,11944,400
15,103,8,4,18553,23885,177
16,237,4,1,16994,24952,262
17,208,1,3,40532,10161,360
18,802,6,5,43466,17112,176
19,320,8,5,41245,17851,348
20,299,6,1,27115,12867,128
21,883,7,2,2860,18351,237
22,258,3,3,15606,21729,155
23,111,4,6,49679,5652,332
24,1033,7,5,44904,14324,145
25,567,8,1,17936,27113,448
26,294,3,5,28397,10796,310
27,387,5,1,18929,24206,155
28,322,3,4,14305,10278,212
29,905,3,1,7426,16164,350
30,591,2,3,35399,20449,387
31,863,8,2,40146,29794,317
32,350,1,5,32273,2234,362
33,765,4,3,3601,6950,335
34,362,7,5,16620,28259,171
35,783,1,2,37821,6930,194
36,392,1,3,28646,718,260
37,572,6,1,16287,6741,361
38,675,4,2,46425,24123,241
39,580,7,5,13833,15668,422
40,79,3,6,6163,25249,70
41,141,8,5,30900,21613,431
42,972,3,2,37579,20604,83
43,667,7,3,30943,14473,132
44,305,6,5,19651,17456,361
45,212,4,4,28330,8066,419
46,958,3,6,27983,15734,318
47,223,6,5,5915,24613,172
48,540,2,5,41400,2478,220
49,747,8,6,45968,16184,38
50,154,5,5,46446,10811,167
51,324,6,6,22679,21859,254
52,674,5,1,12051,18884,151
53,1073,1,2,23830,19735,96
54,783,5,3,21980,29781,442
55,682,6,4,14828,27022,294
56,372,6,4,14933,24026,180
57,735,5,2,44104,14377,490
58,230,5,6,28917,5530,293
59,200,8,5,25139,13462,163
60,244,8,4,21406,24461,149
61,340,5,3,36999,22773,20
62,310,1,4,3679,12663,462
63,296,8,3,25404,2139,158
64,930,3,6,14057,17103,166
65,884,1,5,16104,20689,401
66,43,5,3,45475,553,49
67,502,8,2,22714,17340,111
68,160,4,3,19429,8125,378
69,308,7,3,21509,24613,343
70,689,7,5,24591,27847,334
71,962,3,2,19583,5486,363
72,312,7,6,3884,3844,211
73,405,8,5,8283,13517,175
74,118,6,2,37482,8977,38
75,696,8,2,29512,13086,349
76,523,6,3,34093,28426,290
77,173,7,5,3589,21695,258
78,411,4,1,4059,19105,200
79,62,6,3,15924,27004,143
80,619,4,5,46681,18355,87
81,938,5,4,45012,22905,161
82,604,2,1,39692,11056,113
83,825,4,4,31889,12865,374
84,189,5,5,45246,21242,236
85,419,3,5,10127,1650,271
86,837,7,5,21234,17573,75
87,497,6,4,26475,21428,312
88,864,2,6,1606,25331,236
89,668,3,6,35452,19986,342
90,806,5,1,12808,11455,494
91,987,6,4,20058,12367,103
92,244,3,5,32301,22090,85
93,698,2,5,1298,2183,307
94,1046,6,2,8194,6051,105
95,995,4,1,27461,22162,432
96,926,4,6,47403,18853,84
97,734,5,2,47323,4915,350
98,1038,7,1,11118,18756,308
99,285,8,6,35722,21194,302
100,123,6,5,29553,8176,189
101,440,3,1,7814,16088,442
102,441,7,1,39444,16466,66
103,1096,5,5,9626,13676,265
104,966,2,1,10202,9978,23
105,855,1,6,27156,4079,345
106,813,6,6,28374,29312,249
107,999,5,5,34917,28985,262
108,27,2,6,25099,10704,186
109,568,7,1,37650,12693,443
110,786,2,6,20872,23807,85
111,793,6,6,44310,18384,53
112,212,8,2,9614,23739,482
113,478,7,1,45522,10833,284
114,993,8,2,48907,9473,42
115,209,3,2,12396,18405,238
116,486,7,2,47317,27783,145
117,623,5,2,27853,28749,455
118,533,5,1,9277,17523,371
119,254,3,5,1984,22121,191
120,903,5,2,28439,16659,84
121,774,8,6,43375,21873,408
122,623,2,5,39712,29269,314
123,584,4,2,21469,7644,86
124,843,1,6,5088,3095,250
125,834,7,6,33338,16289,366
126,765,5,1,2740,5040,68
127,523,3,1,47020,9991,458
128,787,5,5,1163,7982,184
129,505,6,5,4376,7903,33
130,328,3,5,21258,13789,372
131,79,6,1,10306,17692,436
132,641,8,1,17173,26714,119
133,553,7,2,36819,20958,164
134,1013,6,3,17792,1647,381
135,101,7,1,2230,27590,157
136,311,7,2,27023,16619,45
137,552,6,3,36255,19102,283
138,990,4,4,45582,28549,426
139,144,8,3,33956,5802,372
140,605,4,6,19390,3735,450
141,864,5,2,44497,4820,319
142,944,5,2,3228,26939,151
143,1002,2,1,18708,29998,135
144,307,4,3,18116,4682,371
145,935,1,2,8706,22476,322
146,575,2,3,7697,20416,15
147,1021,6,4,31166,17123,50
148,363,2,5,4979,15294,425
149,993,7,2,21683,19448,350
150,893,2,6,41132,25306,434
151,189,7,3,49608,15483,399
152,428,1,3,7188,26835,385
153,46,4,1,42716,21490,378
154,623,8,2,24334,24066,259
155,784,8,3,28347,12239,487
156,1075,3,2,47103,11910,496
157,922,3,3,41753,14091,474
158,96,5,3,46505,5249,328
159,959,1,2,20263,29446,409
160,667,1,6,46024,1630,449
161,109,6,6,6555,13057,372
162,879,6,6,26091,25563,66
163,21,8,4,7593,14695,368
164,459,6,3,26464,921,339
165,150,4,5,31048,1629,191
166,404,2,2,7437,2882,437
167,492,6,4,7285,28612,163
168,285,6,4,23545,15220,195
169,54,4,6,7233,15442,229
170,1089,5,1,42454,5509,117
171,568,6,4,5152,21443,128
172,792,2,1,2393,24421,136
173,208,2,3,45124,18756,349
174,347,6,6,44124,20563,41
175,254,1,1,21533,23734,390
176,15,4,4,26890,18919,342
177,533,7,3,7048,9573,277
178,84,1,5,5688,25453,49
179,176,1,1,30672,12713,102
180,604,8,1,46814,8224,258
181,687,7,1,12850,3491,273
182,1010,7,5,17287,23696,220
183,513,4,2,10954,15532,424
184,93,1,3,17169,2219,351
185,625,2,2,33216,2740,326
186,410,3,2,8020,20999,356
187,106,4,2,13906,6649,426
188,1051,3,1,15300,18095,110
189,272,1,3,26831,5109,306
190,696,5,6,46072,8655,230
191,691,1,6,44041,20358,11
192,637,5,3,14864,22807,429
193,625,6,3,34831,12138,342
194,598,6,4,13885,10837,289
195,480,5,1,10130,17164,396
196,992,8,3,33009,12016,316
197,378,4,4,13563,3291,207
198,226,8,3,46801,8083,326
199,622,7,3,32378,19135,382
200,673,3,4,16296,26072,79
201,886,5,3,18322,11590,43
202,32,2,6,48981,13906,59
203,542,7,1,33338,4340,75
204,371,2,2,16583,7413,80
205,90,6,4,27396,7442,252
206,170,5,1,35404,6175,413
207,951,3,3,1977,27710,79
208,328,2,6,7995,6614,344
209,1013,3,5,20365,13468,33
210,69,2,2,17216,12168,229
211,441,4,3,32718,20231,274
212,1005,3,4,13840,16445,181
213,615,4,1,36845,29841,281
214,601,5,6,21206,26411,238
215,174,1,1,6864,2141,476
216,970,7,5,4604,22418,423
217,630,7,6,47874,25272,274
218,510,4,6,27868,28641,92
219,465,1,6,38078,13096,499
220,987,5,6,14932,19553,320
221,962,2,1,14238,5424,95
222,708,6,5,10572,14032,205
223,333,8,1,10460,11991,281
224,356,1,2,6474,6050,353
225,440,4,5,30631,24318,31
226,736,6,6,38391,18785,385
227,347,3,2,1196,24561,40
228,194,8,3,48146,24586,335
229,400,3,4,1075,8641,357
230,648,1,3,29199,1423,471
231,294,7,3,7850,963,357
232,351,4,5,20479,29235,46
233,707,6,4,47036,18625,62
234,886,8,5,21240,6119,106
235,186,8,3,30044,8073,338
236,390,8,2,25914,23019,75
237,54,2,3,34899,6903,154
238,532,8,2,47160,9893,118
239,641,3,1,28811,16733,370
240,566,5,3,30753,16729,218
241,164,7,3,30746,7880,202
242,287,4,4,17925,9607,459
243,1,2,4,26134,27804,391
244,836,1,1,15065,3222,173
245,587,5,1,14640,27104,194
246,601,5,2,10612,21734,98
247,810,8,4,45941,13252,241
248,1025,1,4,46262,28801,94
249,1055,8,1,24470,15399,164
250,428,5,5,8793,22097,348
251,611,1,6,20014,18928,415
252,436,7,6,13223,8764,481
253,1088,5,3,36006,29982,320
254,875,1,6,43065,14317,428
255,714,7,5,44249,11692,375
256,550,1,1,29391,22546,209
257,443,2,2,13888,10675,244
258,47,5,6,36568,11264,165
259,524,6,5,26885,14189,380
260,178,4,5,25738,4818,382
261,585,7,3,17173,25365,382
262,265,4,2,15720,573,92
263,880,3,4,9339,10234,34
264,864,8,5,31530,21478,148
