TransactionID,CustomerID,DateKey,Amount,Channel,TransactionType,IsFlagged
1,2401,317,85884,Online,Transfer,0
2,2113,49,14863,Online,Withdrawal,0
3,2861,291,93909,ATM,Payment,0
4,1699,45,59540,Online,Payment,1
5,1408,985,39335,POS,Transfer,0
6,1006,1037,24548,Online,Deposit,0
7,2928,795,31501,Online,Deposit,0
8,2619,713,78077,POS,Withdrawal,0
9,455,176,56538,POS,Transfer,0
10,2751,69,20946,Online,Deposit,0
11,87,892,24530,POS,Withdrawal,0
12,242,679,6767,ATM,Deposit,0
13,789,856,4863,Online,Withdrawal,0
14,647,853,20709,POS,Transfer,0
15,1646,1042,45269,Online,Deposit,0
16,520,703,64873,ATM,Payment,0
17,1194,780,74691,POS,Deposit,0
18,2103,609,3225,Online,Withdrawal,0
19,1193,1004,57107,POS,Deposit,0
20,2372,205,12336,POS,Transfer,0
21,343,280,81640,ATM,Transfer,0
22,553,983,6657,POS,Withdrawal,0
23,967,634,64382,ATM,Withdrawal,0
24,2712,918,81471,POS,Transfer,0
25,2063,60,66326,Online,Deposit,0
26,249,636,59586,POS,Withdrawal,0
27,88,103,63233,ATM,Withdrawal,0
28,912,738,81441,POS,Payment,1
29,2319,746,33147,POS,Transfer,0
30,1062,745,35657,ATM,Deposit,0
31,2909,51,42136,ATM,Transfer,0
32,406,284,6487,POS,Payment,1
33,852,1092,11922,ATM,Deposit,0
34,1921,414,95948,Online,Transfer,0
35,356,1039,89914,Online,Withdrawal,0
36,145,695,92249,POS,Withdrawal,0
37,795,233,59693,ATM,Withdrawal,0
38,299,177,52686,ATM,Deposit,0
39,665,887,72980,ATM,Payment,0
40,1268,1072,6649,Online,Deposit,0
41,1403,50,15074,ATM,Deposit,0
42,644,924,99659,Online,Transfer,0
43,2778,138,66280,POS,Transfer,0
44,1615,551,84884,ATM,Transfer,1
45,2040,782,35085,ATM,Transfer,0
46,285,986,91430,ATM,Transfer,0
47,1322,579,89188,ATM,Payment,0
48,1317,896,36003,Online,Deposit,0
49,2766,624,53416,ATM,Deposit,0
50,2895,747,78268,Online,Deposit,0
51,1814,122,35152,Online,Payment,0
52,959,308,84731,ATM,Transfer,0
53,2794,1036,1616,Online,Payment,0
54,2651,132,50298,POS,Withdrawal,0
55,2605,571,5124,Online,Deposit,0
56,2943,402,85814,Online,Withdrawal,0
57,2338,654,13280,POS,Transfer,0
58,2796,1037,38281,ATM,Withdrawal,0
59,1964,359,91050,ATM,Withdrawal,0
60,2696,517,77360,Online,Payment,0
61,486,587,94004,Online,Transfer,1
62,1683,157,38538,POS,Payment,0
63,2718,402,38682,ATM,Withdrawal,0
64,1308,632,65778,ATM,Transfer,0
65,62,1016,43159,ATM,Deposit,0
66,943,644,82861,POS,Payment,0
67,1083,560,8758,POS,Deposit,0
68,1338,850,12050,POS,Deposit,0
69,1278,964,19245,Online,Payment,0
70,866,18,21025,ATM,Withdrawal,0
71,1911,329,73165,Online,Withdrawal,0
72,1483,739,79270,POS,Deposit,0
73,781,898,59321,Online,Payment,0
74,2024,286,77107,Online,Deposit,0
75,860,829,50183,Online,Payment,0
76,2518,18,54559,POS,Deposit,0
77,2248,809,46511,Online,Transfer,0
78,2702,717,14758,Online,Withdrawal,0
79,59,927,82772,POS,Payment,0
80,1632,283,7648,POS,Transfer,0
81,48,863,41226,Online,Transfer,0
82,2518,152,45579,ATM,Deposit,0
83,845,737,58459,ATM,Withdrawal,0
84,523,537,139,ATM,Payment,0
85,29,405,43012,ATM,Transfer,0
86,1499,231,28821,Online,Deposit,0
87,2539,929,61334,ATM,Withdrawal,0
88,98,15,37643,POS,Withdrawal,0
89,1827,975,45183,POS,Transfer,0
90,1875,1020,66755,POS,Payment,0
91,228,328,14915,ATM,Payment,0
92,1490,716,4972,ATM,Transfer,0
93,778,308,61374,ATM,Payment,0
94,292,548,28654,POS,Withdrawal,0
95,987,177,7767,POS,Transfer,0
96,2030,878,8386,Online,Payment,0
97,1968,477,85133,POS,Transfer,0
98,2439,1058,21203,Online,Withdrawal,0
99,2544,88,2072,Online,Transfer,0
100,2985,24,30510,POS,Payment,0
101,103,901,17341,Online,Transfer,0
102,1435,443,43663,POS,Payment,0
103,2931,716,37150,Online,Transfer,0
104,2693,635,33535,POS,Withdrawal,0
105,1932,558,73234,POS,Payment,0
106,638,1028,74491,POS,Deposit,0
107,2850,72,54604,POS,Deposit,0
108,2430,535,66704,Online,Deposit,0
109,1220,604,25110,ATM,Payment,0
110,714,87,11418,ATM,Payment,0
111,72,271,33907,Online,Deposit,0
112,2787,508,81853,Online,Deposit,0
113,1830,37,29097,Online,Payment,0
114,1674,967,95845,Online,Payment,0
115,979,335,28114,Online,Withdrawal,1
116,505,182,29674,POS,Transfer,0
117,589,764,26102,ATM,Transfer,0
118,388,381,51984,POS,Deposit,0
119,1116,661,81008,ATM,Transfer,0
120,1403,684,2559,POS,Payment,0
121,1066,528,43127,Online,Payment,0
122,444,11,54757,POS,Withdrawal,0
123,2669,253,17644,Online,Transfer,0
124,2367,1025,28686,ATM,Deposit,0
125,674,959,86092,POS,Deposit,0
126,1603,879,21636,Online,Payment,0
127,2341,432,85999,Online,Transfer,0
128,1885,930,24214,Online,Withdrawal,0
129,2871,630,51366,ATM,Withdrawal,0
130,1684,1019,36992,POS,Deposit,0
131,1987,781,86005,Online,Transfer,0
132,1556,774,61397,POS,Transfer,0
133,691,731,53560,Online,Transfer,0
134,1936,993,19233,POS,Payment,0
135,1520,403,7563,POS,Transfer,0
